Fecha;Turno;Tipo_mineral;Tonelaje_tph; Ley_Cu_pct;Recuperacion_pct;Potencia_kW 
02-01-2025 11:00;Dia;A;1601,3;0,973;90,22;3710,1
02-01-2025 12:00;Dia;A;1619,8;0,953;90,07;3574,9
02-01-2025 13:00;Dia;A;1668,8;0,889;90,67;3642,2
02-01-2025 14:00;Dia;A;1639,9;0,918;90,65;3621,6
02-01-2025 15:00;Dia;A;1633,4;0,856;90,37;3630,9
02-01-2025 16:00;Dia;A;1633,1;0,810;88,43;3643,5
02-01-2025 17:00;Dia;A;1626,1;0,877;88,13;3574,0
02-01-2025 18:00;Dia;A;1562,5;0,876;86,58;3540,6
02-01-2025 19:00;Dia;A;1565,8;0,848;86,59;3577,5
02-01-2025 20:00;Noche;A;1499,6;0,856;86,80;3558,2
02-01-2025 21:00;Noche;A;1416,5;0,867;88,08;3427,0
02-01-2025 22:00;Noche;A;1455,0;0,775;85,66;3433,2
02-01-2025 23:00;Noche;A;1453,9;0,785;89,93;3530,7
03-01-2025 00:00;Noche;A;1423,4;0,747;88,14;3500,2
03-01-2025 01:00;Noche;A;1514,7;0,791;89,09;3566,2
03-01-2025 02:00;Noche;A;1535,3;0,786;89,21;3504,4
03-01-2025 03:00;Noche;A;1472,9;0,880;85,62;3496,1
03-01-2025 04:00;Noche;A;1484,5;0,900;86,00;3521,4
03-01-2025 05:00;Noche;A;1519,0;0,857;88,04;3553,6
03-01-2025 06:00;Noche;A;1517,0;0,872;84,91;3534,9
03-01-2025 07:00;Noche;A;1555,7;0,829;86,64;3564,5
03-01-2025 08:00;Dia;A;1675,8;0,862;86,11;3680,9
03-01-2025 09:00;Dia;A;1708,2;0,902;86,54;3650,3
03-01-2025 10:00;Dia;A;1765,0;0,909;87,60;3683,3
03-01-2025 11:00;Dia;A;1717,8;0,810;85,18;3659,5
03-01-2025 12:00;Dia;A;1717,1;0,822;86,69;3656,5
03-01-2025 13:00;Dia;A;1685,3;0,860;86,79;3660,0
03-01-2025 14:00;Dia;A;1682,1;0,866;86,63;3644,3
03-01-2025 15:00;Dia;A;1619,9;0,901;88,45;3595,4
03-01-2025 16:00;Dia;A;1593,9;0,805;92,15;3645,1
03-01-2025 17:00;Dia;A;1585,9;0,828;91,00;3596,1
03-01-2025 18:00;Dia;A;1621,5;0,785;90,14;3591,7
03-01-2025 19:00;Dia;A;1655,0;0,796;89,04;3668,0
03-01-2025 20:00;Noche;A;1453,9;0,812;87,52;3473,9
03-01-2025 21:00;Noche;A;1413,8;0,834;87,78;3466,7
05-01-2025 14:00;Dia;A;1619,7;0,853;88,34;3533,8
05-01-2025 15:00;Dia;A;1627,3;0,794;84,04;3610,4
05-01-2025 16:00;Dia;A;1563,0;0,709;84,49;3593,9
05-01-2025 17:00;Dia;A;1550,1;0,799;85,25;3559,8
05-01-2025 18:00;Dia;A;1540,9;0,763;85,57;3563,8
05-01-2025 19:00;Dia;A;1484,7;0,751;84,67;3519,7
05-01-2025 20:00;Noche;A;1375,2;0,752;85,03;3391,2
05-01-2025 21:00;Noche;A;1334,6;0,726;84,72;3326,1
05-01-2025 22:00;Noche;A;1380,9;0,710;88,51;3466,8
05-01-2025 23:00;Noche;A;1383,9;0,761;88,66;3426,1
06-01-2025 00:00;Noche;A;1454,1;0,895;88,23;3503,1
06-01-2025 01:00;Noche;A;1428,9;0,899;87,67;3461,9
06-01-2025 02:00;Noche;A;1434,0;0,909;87,29;3471,1
06-01-2025 03:00;Noche;A;1363,5;0,819;86,88;3484,9
06-01-2025 04:00;Noche;A;1351,8;0,842;86,42;3387,4
06-01-2025 05:00;Noche;A;1410,5;0,808;86,39;3469,6
06-01-2025 06:00;Noche;A;1354,2;0,880;88,26;3398,7
06-01-2025 07:00;Noche;A;1440,5;0,878;88,96;3497,3
06-01-2025 08:00;Dia;A;1518,9;0,889;88,93;3563,5
06-01-2025 09:00;Dia;A;1594,3;0,888;90,18;3619,0
06-01-2025 10:00;Dia;A;1583,7;0,863;89,54;3596,3
06-01-2025 11:00;Dia;A;1643,0;0,803;87,50;3579,0
06-01-2025 12:00;Dia;A;1657,9;0,859;85,95;3647,3
06-01-2025 13:00;Dia;A;1595,8;0,796;85,74;3631,8
06-01-2025 14:00;Dia;A;1662,2;0,763;86,41;3675,4
06-01-2025 15:00;Dia;A;1715,4;0,779;87,56;3747,9
06-01-2025 16:00;Dia;A;1687,2;0,764;88,87;3670,9
06-01-2025 17:00;Dia;A;1652,6;0,794;87,84;3589,5
06-01-2025 18:00;Dia;A;1627,1;0,840;87,04;3588,6
06-01-2025 19:00;Dia;A;1570,2;0,829;88,13;3572,0
06-01-2025 20:00;Noche;A;1492,0;0,820;89,17;3555,4
06-01-2025 21:00;Noche;A;1453,0;0,809;87,67;3449,7
06-01-2025 22:00;Noche;A;1444,2;0,842;87,92;3516,5
06-01-2025 23:00;Noche;A;1407,5;0,743;88,53;3483,1
07-01-2025 00:00;Noche;A;1389,3;0,794;88,22;3416,5
07-01-2025 01:00;Noche;A;1351,5;0,769;87,23;3446,8
07-01-2025 02:00;Noche;A;1433,7;0,748;84,17;3449,5
07-01-2025 03:00;Noche;A;1440,7;0,799;86,82;3483,1
07-01-2025 04:00;Noche;A;1497,8;0,815;87,55;3510,3
07-01-2025 05:00;Noche;A;1505,4;0,872;87,72;3537,3
07-01-2025 06:00;Noche;A;1485,6;0,931;87,33;3477,1
07-01-2025 07:00;Noche;A;1489,8;0,811;85,32;3544,3
07-01-2025 08:00;Dia;A;1605,7;0,847;86,23;3521,8
07-01-2025 09:00;Dia;A;1627,9;0,957;87,40;3601,7
07-01-2025 10:00;Dia;A;1628,7;0,966;89,28;3598,4
07-01-2025 11:00;Dia;A;1631,4;0,993;87,83;3678,5
07-01-2025 12:00;Dia;A;1585,9;0,942;89,80;3613,2
07-01-2025 13:00;Dia;A;1572,5;0,839;88,88;3567,5
07-01-2025 14:00;Dia;A;1661,7;0,790;89,80;3606,9
07-01-2025 15:00;Dia;A;1626,3;0,839;88,21;3616,6
07-01-2025 16:00;Dia;A;1578,9;0,872;88,81;3560,7
07-01-2025 17:00;Dia;A;1597,0;0,808;89,66;3672,4
07-01-2025 18:00;Dia;A;1651,2;0,791;88,88;3522,2
07-01-2025 19:00;Dia;A;1568,2;0,803;86,56;3570,1
07-01-2025 20:00;Noche;A;1435,6;0,718;85,89;3394,0
07-01-2025 21:00;Noche;A;1407,0;0,736;86,85;3499,8
07-01-2025 22:00;Noche;A;1337,9;0,836;85,55;3388,7
07-01-2025 23:00;Noche;A;1391,9;0,922;84,80;3507,8
08-01-2025 00:00;Noche;A;1402,9;0,870;85,70;3436,7
08-01-2025 01:00;Noche;A;1418,4;0,935;85,36;3505,4
03-01-2025 22:00;Noche;A;1444,1;0,792;89,03;3480,2
03-01-2025 23:00;Noche;A;1357,0;0,807;88,36;3407,4
04-01-2025 00:00;Noche;A;1358,2;0,760;88,40;3414,8
04-01-2025 01:00;Noche;A;1377,7;0,729;87,04;3444,4
04-01-2025 02:00;Noche;A;1453,3;0,807;90,10;3437,0
04-01-2025 03:00;Noche;A;1490,8;0,828;86,80;3500,3
04-01-2025 04:00;Noche;A;1481,1;0,776;87,16;3520,1
04-01-2025 05:00;Noche;A;1476,7;0,786;87,63;3521,2
04-01-2025 06:00;Noche;A;1482,8;0,835;87,92;3528,9
04-01-2025 07:00;Noche;A;1565,3;0,933;86,93;3657,7
04-01-2025 08:00;Dia;A;1667,9;0,964;86,25;3663,0
04-01-2025 09:00;Dia;A;1661,5;0,970;86,93;3632,1
04-01-2025 10:00;Dia;A;1684,4;0,854;87,10;3649,0
04-01-2025 11:00;Dia;A;1680,7;0,862;86,17;3652,2
04-01-2025 12:00;Dia;A;1672,4;0,887;85,95;3663,4
04-01-2025 13:00;Dia;A;1624,4;0,891;87,74;3606,6
04-01-2025 14:00;Dia;A;1630,7;0,888;89,35;3674,9
04-01-2025 15:00;Dia;A;1612,6;0,851;88,17;3566,8
04-01-2025 16:00;Dia;A;1661,8;0,914;87,76;3657,9
04-01-2025 17:00;Dia;A;1672,4;0,931;87,30;3656,9
04-01-2025 18:00;Dia;A;1647,6;0,866;90,33;3578,7
04-01-2025 19:00;Dia;A;1654,6;0,788;89,45;3644,2
04-01-2025 20:00;Noche;A;1494,9;0,881;88,99;3539,7
04-01-2025 21:00;Noche;A;1522,1;0,816;89,19;3510,7
04-01-2025 22:00;Noche;A;1497,9;0,862;91,28;3600,9
04-01-2025 23:00;Noche;A;1505,6;0,923;91,32;3546,3
05-01-2025 00:00;Noche;A;1364,9;0,834;87,40;3421,0
05-01-2025 01:00;Noche;A;1383,9;0,846;87,04;3427,8
05-01-2025 02:00;Noche;A;1316,8;0,830;86,30;3377,7
05-01-2025 03:00;Noche;A;1256,5;0,867;86,22;3378,5
05-01-2025 04:00;Noche;A;1288,8;0,884;85,14;3393,9
05-01-2025 05:00;Noche;A;1292,7;0,971;86,01;3345,9
05-01-2025 06:00;Noche;A;1344,7;0,962;85,41;3394,7
05-01-2025 07:00;Noche;A;1474,6;0,933;86,70;3490,1
05-01-2025 08:00;Dia;A;1565,4;0,968;87,53;3560,6
05-01-2025 09:00;Dia;A;1553,6;0,923;85,98;3557,3
05-01-2025 10:00;Dia;A;1579,8;0,892;84,75;3564,4
05-01-2025 11:00;Dia;A;1610,5;0,988;86,24;3631,9
05-01-2025 12:00;Dia;A;1603,2;0,898;87,66;3638,9
05-01-2025 13:00;Dia;A;1593,2;0,857;88,43;3600,7
08-01-2025 02:00;Noche;A;1399,5;0,871;86,50;3463,2
08-01-2025 03:00;Noche;A;1440,6;0,830;84,95;3525,9
08-01-2025 04:00;Noche;A;1434,6;0,748;82,94;3482,8
08-01-2025 05:00;Noche;A;1451,4;0,852;83,98;3388,1
08-01-2025 06:00;Noche;A;1427,8;0,853;87,05;3457,6
08-01-2025 07:00;Noche;A;1409,1;0,978;86,89;3419,1
08-01-2025 08:00;Dia;A;1624,8;0,957;87,34;3646,0
08-01-2025 09:00;Dia;A;1620,6;0,938;87,97;3631,2
08-01-2025 10:00;Dia;A;1651,3;0,835;86,44;3633,0
08-01-2025 11:00;Dia;A;1659,5;0,924;88,95;3655,4
08-01-2025 12:00;Dia;A;1646,3;0,883;88,84;3638,4
08-01-2025 13:00;Dia;A;1630,4;0,864;89,16;3600,4
08-01-2025 14:00;Dia;A;1662,1;0,755;86,21;3710,0
08-01-2025 15:00;Dia;A;1642,2;0,830;85,18;3633,8
08-01-2025 16:00;Dia;A;1628,7;0,868;83,27;3607,4
08-01-2025 17:00;Dia;A;1621,1;0,812;84,67;3553,9
08-01-2025 18:00;Dia;A;1659,7;0,809;85,57;3605,1
08-01-2025 19:00;Dia;A;1664,2;0,819;87,24;3627,7
08-01-2025 20:00;Noche;A;1532,4;0,849;89,20;3536,3
08-01-2025 21:00;Noche;A;1482,5;0,828;87,97;3492,0
08-01-2025 22:00;Noche;A;1410,4;0,892;87,59;3460,8
08-01-2025 23:00;Noche;A;1455,4;0,843;87,63;3448,8
09-01-2025 00:00;Noche;A;1492,1;0,805;88,83;3512,0
09-01-2025 01:00;Noche;A;1476,4;0,796;86,80;3446,5
09-01-2025 02:00;Noche;A;1497,3;0,704;86,79;3485,5
09-01-2025 03:00;Noche;A;1527,8;0,738;86,30;3510,6
09-01-2025 04:00;Noche;A;1557,5;0,844;86,45;3589,6
09-01-2025 05:00;Noche;A;1588,3;0,874;87,79;3597,9
09-01-2025 06:00;Noche;A;1557,8;0,846;86,46;3567,1
09-01-2025 07:00;Noche;A;1621,3;0,885;85,75;3565,4
09-01-2025 08:00;Dia;A;1675,6;0,800;86,86;3629,0
09-01-2025 09:00;Dia;A;1716,2;0,831;87,28;3700,0
09-01-2025 10:00;Dia;A;1731,5;0,881;87,51;3727,7
09-01-2025 11:00;Dia;A;1757,8;0,913;87,89;3646,8
09-01-2025 12:00;Dia;A;1817,5;0,859;88,48;3721,9
09-01-2025 13:00;Dia;A;1842,4;0,899;88,26;3756,4
09-01-2025 14:00;Dia;A;1746,6;0,958;89,71;3704,5
09-01-2025 15:00;Dia;A;1647,3;0,881;89,45;3628,7
09-01-2025 16:00;Dia;A;1673,2;0,885;90,84;3666,1
09-01-2025 17:00;Dia;A;1611,0;0,779;90,71;3548,3
09-01-2025 18:00;Dia;A;1602,1;0,698;89,95;3648,2
09-01-2025 19:00;Dia;A;1627,7;0,768;88,84;3563,4
09-01-2025 20:00;Noche;A;1420,0;0,780;88,29;3475,2
09-01-2025 21:00;Noche;A;1333,2;0,795;87,06;3435,7
09-01-2025 22:00;Noche;A;1367,4;0,770;90,18;3478,2
09-01-2025 23:00;Noche;A;1385,1;0,774;88,40;3478,6
10-01-2025 00:00;Noche;A;1388,5;0,831;88,53;3479,1
10-01-2025 01:00;Noche;A;1406,2;0,909;89,82;3505,2
10-01-2025 02:00;Noche;A;1385,8;0,871;86,81;3442,1
10-01-2025 03:00;Noche;A;1347,7;0,792;85,33;3453,0
10-01-2025 04:00;Noche;A;1380,6;0,886;85,86;3504,5
10-01-2025 05:00;Noche;A;1376,1;0,913;85,34;3421,5
10-01-2025 06:00;Noche;A;1348,8;0,934;84,81;3384,5
10-01-2025 07:00;Noche;A;1422,2;0,926;85,36;3447,4
10-01-2025 08:00;Dia;A;1576,0;1,019;88,54;3633,1
10-01-2025 09:00;Dia;A;1622,4;0,967;89,21;3658,2
10-01-2025 10:00;Dia;A;1598,8;0,956;88,99;3587,7
10-01-2025 11:00;Dia;A;1594,0;0,839;88,26;3607,7
10-01-2025 12:00;Dia;A;1573,8;0,827;86,19;3603,9
10-01-2025 13:00;Dia;A;1560,1;0,810;87,75;3615,8
10-01-2025 14:00;Dia;A;1591,2;0,823;88,50;3527,8
10-01-2025 15:00;Dia;A;1568,8;0,842;87,19;3559,9
10-01-2025 16:00;Dia;A;1595,0;0,796;87,56;3584,5
10-01-2025 17:00;Dia;A;1609,2;0,878;87,90;3611,4
10-01-2025 18:00;Dia;A;1686,4;0,794;86,83;3647,4
10-01-2025 19:00;Dia;A;1597,2;0,773;85,71;3574,7
10-01-2025 20:00;Noche;A;1503,4;0,791;85,51;3535,7
10-01-2025 21:00;Noche;A;1480,7;0,736;84,58;3415,5
10-01-2025 22:00;Noche;A;1466,5;0,790;86,15;3609,4
10-01-2025 23:00;Noche;A;1396,7;0,826;86,93;3483,3
11-01-2025 00:00;Noche;A;1388,2;0,810;87,06;3479,9
11-01-2025 01:00;Noche;A;1435,6;0,906;87,14;3453,8
11-01-2025 02:00;Noche;A;1440,6;0,883;86,43;3497,0
11-01-2025 03:00;Noche;A;1455,8;0,886;89,07;3567,8
11-01-2025 04:00;Noche;A;1456,4;0,837;85,71;3562,1
11-01-2025 05:00;Noche;A;1522,3;0,783;87,27;3542,7
11-01-2025 06:00;Noche;A;1526,6;0,804;87,60;3500,7
11-01-2025 07:00;Noche;A;1441,9;0,832;87,64;3502,2
11-01-2025 08:00;Dia;A;1564,3;0,842;87,02;3564,2
11-01-2025 09:00;Dia;A;1513,9;0,901;87,41;3577,3
11-01-2025 10:00;Dia;A;1422,4;0,789;85,68;3445,2
11-01-2025 11:00;Dia;A;1467,1;0,780;84,82;3513,6
11-01-2025 12:00;Dia;A;1576,6;0,738;85,67;3598,6
11-01-2025 13:00;Dia;A;1601,4;0,852;85,18;3586,8
11-01-2025 14:00;Dia;A;1564,7;0,823;87,30;3618,1
11-01-2025 15:00;Dia;A;1542,3;0,802;88,87;3522,8
11-01-2025 16:00;Dia;A;1607,7;0,759;84,11;3557,2
11-01-2025 17:00;Dia;A;1611,1;0,820;83,98;3588,6
11-01-2025 18:00;Dia;A;1604,8;0,791;85,62;3624,4
11-01-2025 19:00;Dia;A;1592,2;0,802;86,61;3572,4
11-01-2025 20:00;Noche;A;1464,1;0,705;86,37;3479,6
11-01-2025 21:00;Noche;A;1488,7;0,797;87,41;3543,1
11-01-2025 22:00;Noche;A;1496,4;0,816;88,12;3524,9
11-01-2025 23:00;Noche;A;1489,1;0,837;88,68;3491,8
12-01-2025 00:00;Noche;A;1363,0;0,885;90,28;3436,9
12-01-2025 01:00;Noche;A;1389,5;0,853;88,73;3440,5
12-01-2025 02:00;Noche;A;1363,2;0,842;88,86;3456,3
12-01-2025 03:00;Noche;A;1422,8;0,883;86,26;3478,2
12-01-2025 04:00;Noche;A;1373,0;0,898;86,47;3415,6
12-01-2025 05:00;Noche;A;1388,0;0,881;85,20;3439,4
12-01-2025 06:00;Noche;A;1409,0;0,888;87,76;3457,8
12-01-2025 07:00;Noche;A;1373,0;0,870;90,38;3467,2
12-01-2025 08:00;Dia;A;1596,5;0,915;90,23;3608,8
12-01-2025 09:00;Dia;A;1664,6;0,949;88,06;3609,6
12-01-2025 10:00;Dia;A;1635,1;0,923;87,99;3616,6
12-01-2025 11:00;Dia;A;1663,7;0,990;88,68;3653,7
12-01-2025 12:00;Dia;A;1666,5;0,867;88,37;3684,5
12-01-2025 13:00;Dia;A;1539,6;0,852;89,64;3574,6
12-01-2025 14:00;Dia;A;1560,6;0,925;90,73;3648,3
12-01-2025 15:00;Dia;A;1558,7;0,863;86,40;3575,1
12-01-2025 16:00;Dia;A;1558,5;0,770;88,25;3598,3
12-01-2025 17:00;Dia;A;1504,9;0,849;87,87;3523,6
12-01-2025 18:00;Dia;A;1494,3;0,850;87,21;3489,6
12-01-2025 19:00;Dia;A;1486,6;0,770;88,61;3521,8
12-01-2025 20:00;Noche;A;1415,7;0,814;87,89;3488,6
12-01-2025 21:00;Noche;A;1415,1;0,759;85,55;3480,0
12-01-2025 22:00;Noche;A;1400,3;0,716;84,06;3462,4
12-01-2025 23:00;Noche;A;1454,7;0,751;85,12;3477,5
13-01-2025 00:00;Noche;A;1480,2;0,760;86,64;3475,2
13-01-2025 01:00;Noche;A;1457,0;0,743;88,12;3480,1
13-01-2025 02:00;Noche;A;1383,8;0,773;87,23;3463,9
13-01-2025 03:00;Noche;A;1475,7;0,768;86,22;3540,5
13-01-2025 04:00;Noche;A;1524,1;0,818;88,49;3418,5
13-01-2025 05:00;Noche;A;1563,1;0,847;87,41;3587,5
13-01-2025 06:00;Noche;A;1586,2;0,902;89,37;3622,2
13-01-2025 07:00;Noche;A;1583,7;0,880;88,83;3630,3
13-01-2025 08:00;Dia;A;1708,8;0,829;88,38;3678,7
13-01-2025 09:00;Dia;A;1694,4;0,800;87,65;3682,7
13-01-2025 10:00;Dia;A;1685,8;0,830;88,21;3638,7
13-01-2025 11:00;Dia;A;1689,2;0,923;88,15;3655,0
13-01-2025 12:00;Dia;A;1750,7;0,938;87,67;3715,9
13-01-2025 13:00;Dia;A;1753,4;0,873;87,61;3658,1
13-01-2025 14:00;Dia;A;1725,5;0,902;87,37;3650,7
13-01-2025 15:00;Dia;A;1678,1;0,817;87,74;3655,4
13-01-2025 16:00;Dia;A;1635,4;0,863;88,23;3570,7
13-01-2025 17:00;Dia;A;1692,6;0,820;87,63;3653,7
13-01-2025 18:00;Dia;A;1685,2;0,844;87,56;3590,1
13-01-2025 19:00;Dia;A;1657,6;0,849;87,34;3631,0
13-01-2025 20:00;Noche;A;1497,0;0,810;89,22;3522,4
13-01-2025 21:00;Noche;A;1433,0;0,817;88,34;3458,8
13-01-2025 22:00;Noche;A;1428,6;0,761;86,67;3440,3
13-01-2025 23:00;Noche;A;1465,9;0,779;86,26;3478,1
14-01-2025 00:00;Noche;A;1443,0;0,846;87,45;3400,4
14-01-2025 01:00;Noche;A;1435,9;1,025;87,94;3463,5
14-01-2025 02:00;Noche;A;1435,0;0,977;87,35;3482,9
14-01-2025 03:00;Noche;A;1452,9;0,929;86,78;3535,5
14-01-2025 04:00;Noche;A;1399,6;0,858;86,73;3442,5
14-01-2025 05:00;Noche;A;1421,3;0,918;87,65;3471,0
14-01-2025 06:00;Noche;A;1415,9;0,832;87,62;3527,8
14-01-2025 07:00;Noche;A;1488,5;0,826;85,46;3588,5
14-01-2025 08:00;Dia;A;1596,0;0,875;85,26;3577,0
14-01-2025 09:00;Dia;A;1644,6;0,831;82,92;3665,6
14-01-2025 10:00;Dia;A;1721,1;0,928;86,45;3719,6
14-01-2025 11:00;Dia;A;1700,2;0,957;88,83;3683,8
14-01-2025 12:00;Dia;A;1670,2;0,892;90,05;3610,9
14-01-2025 13:00;Dia;A;1677,7;0,852;89,41;3616,8
14-01-2025 14:00;Dia;A;1671,1;0,789;90,00;3666,8
14-01-2025 15:00;Dia;A;1619,9;0,744;88,87;3697,1
14-01-2025 16:00;Dia;A;1637,8;0,797;88,52;3614,2
14-01-2025 17:00;Dia;A;1711,7;0,829;86,56;3720,8
14-01-2025 18:00;Dia;A;1667,4;0,831;86,10;3702,1
14-01-2025 19:00;Dia;A;1633,0;0,825;85,93;3563,1
14-01-2025 20:00;Noche;A;1449,2;0,785;87,31;3469,9
14-01-2025 21:00;Noche;A;1457,2;0,805;89,21;3549,3
14-01-2025 22:00;Noche;A;1397,2;0,736;87,23;3490,7
14-01-2025 23:00;Noche;A;1359,1;0,769;87,43;3450,4
15-01-2025 00:00;Noche;A;1433,1;0,858;87,79;3475,4
15-01-2025 01:00;Noche;A;1400,1;0,907;86,69;3478,7
15-01-2025 02:00;Noche;A;1462,9;0,859;84,43;3472,8
15-01-2025 03:00;Noche;A;1533,2;0,845;84,35;3632,6
15-01-2025 04:00;Noche;A;1537,6;0,920;84,02;3504,6
15-01-2025 05:00;Noche;A;1558,0;0,985;85,35;3496,6
15-01-2025 06:00;Noche;A;1636,3;0,876;85,55;3619,2
15-01-2025 07:00;Noche;A;1608,4;0,867;86,05;3652,2
15-01-2025 08:00;Dia;A;1693,3;0,892;86,64;3637,2
15-01-2025 09:00;Dia;A;1636,6;0,950;88,12;3620,5
15-01-2025 10:00;Dia;A;1652,8;0,886;86,81;3597,2
15-01-2025 11:00;Dia;A;1724,3;0,913;88,66;3677,2
15-01-2025 12:00;Dia;A;1753,8;0,881;86,46;3661,6
15-01-2025 13:00;Dia;A;1692,8;0,978;87,95;3623,9
15-01-2025 14:00;Dia;A;1646,7;0,937;88,64;3576,9
15-01-2025 15:00;Dia;A;1622,1;0,882;87,44;3593,5
15-01-2025 16:00;Dia;A;1632,4;0,838;85,64;3685,3
15-01-2025 17:00;Dia;A;1614,4;0,871;87,54;3601,2
15-01-2025 18:00;Dia;A;1614,3;0,869;86,89;3607,2
15-01-2025 19:00;Dia;A;1614,1;0,785;87,66;3678,5
15-01-2025 20:00;Noche;A;1466,4;0,798;88,39;3479,3
15-01-2025 21:00;Noche;A;1455,0;0,735;87,39;3456,5
15-01-2025 22:00;Noche;A;1456,6;0,730;86,90;3511,0
15-01-2025 23:00;Noche;A;1446,7;0,707;87,61;3439,7
16-01-2025 00:00;Noche;A;1466,2;0,698;87,27;3508,5
16-01-2025 01:00;Noche;A;1541,5;0,728;85,68;3585,6
16-01-2025 02:00;Noche;A;1548,4;0,737;86,00;3509,4
16-01-2025 03:00;Noche;A;1535,6;0,817;87,11;3523,9
16-01-2025 04:00;Noche;A;1457,7;0,879;87,49;3559,1
16-01-2025 05:00;Noche;A;1491,2;0,871;87,50;3482,0
16-01-2025 06:00;Noche;A;1422,5;0,830;86,96;3456,3
16-01-2025 07:00;Noche;A;1397,1;;87,31;3477,2
16-01-2025 08:00;Dia;A;1595,7;0,807;85,85;3583,0
16-01-2025 09:00;Dia;A;1649,9;0,761;84,52;3599,5
16-01-2025 10:00;Dia;A;1654,7;0,852;87,59;3694,0
16-01-2025 11:00;Dia;A;1591,8;0,896;87,31;3576,5
16-01-2025 12:00;Dia;A;1598,6;0,929;88,27;3614,5
16-01-2025 13:00;Dia;A;1587,5;0,887;86,44;3580,1
16-01-2025 14:00;Dia;A;1630,3;0,811;87,02;3612,0
16-01-2025 15:00;Dia;A;1725,9;0,796;86,36;3627,6
16-01-2025 16:00;Dia;A;1707,0;0,831;90,72;3697,5
16-01-2025 17:00;Dia;A;1646,3;0,785;88,10;3607,4
16-01-2025 18:00;Dia;A;1580,1;0,759;86,53;3625,5
16-01-2025 19:00;Dia;A;1573,6;0,711;87,58;3529,3
16-01-2025 20:00;Noche;A;1441,1;0,694;88,42;3469,1
16-01-2025 21:00;Noche;A;1389,4;0,777;85,51;3469,7
16-01-2025 22:00;Noche;A;1403,6;0,808;86,40;3463,1
16-01-2025 23:00;Noche;A;1362,2;0,755;87,18;3408,2
17-01-2025 00:00;Noche;A;1428,4;0,736;85,14;3467,9
17-01-2025 01:00;Noche;A;1479,2;0,754;86,36;3457,4
17-01-2025 02:00;Noche;A;1522,4;0,821;85,98;3534,7
17-01-2025 03:00;Noche;A;1493,9;0,786;84,76;3420,1
17-01-2025 04:00;Noche;A;1518,9;0,818;85,16;3541,3
17-01-2025 05:00;Noche;A;1515,2;0,751;84,81;3585,1
17-01-2025 06:00;Noche;A;1505,9;0,759;83,86;3565,6
17-01-2025 07:00;Noche;A;1504,6;0,841;88,17;3566,3
17-01-2025 08:00;Dia;A;1585,9;0,908;87,75;3573,1
17-01-2025 09:00;Dia;A;1552,2;0,851;86,66;3588,0
17-01-2025 10:00;Dia;A;1621,2;0,834;88,10;3600,1
17-01-2025 11:00;Dia;A;1630,4;0,892;88,33;3618,4
